DepMap_ID,stripped_cell_line_name,CCLE_Name,alias,COSMIC_ID,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,sex,source,Achilles_n_replicates,cell_line_NNMD,culture_type,culture_medium,cas9_activity,RRID,sample_collection_site,primary_or_metastasis,disease,disease_subtype,age,Sanger_model_ID,additional_info
ACH-000421,SW837,SW837_LARGE_INTESTINE,,909755.0,colorectal,colorectal_adenocarcinoma,,,Male,ATCC,3.0,-4.687419964,Adherent,RPMI; 10% FBS,9.9,CVCL_1729,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,53.0,SIDM00833,
ACH-000422,SNU475,SNU475_LIVER,,909739.0,liver,hepatocellular_carcinoma,,,Male,ATCC,2.0,-4.770536445,Adherent,RPMI; 10% FBS,11.8,CVCL_0497,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,43.0,SIDM01196,
ACH-000423,SKMEL3,SKMEL3_SKIN,,909724.0,skin,melanoma,,,Female,ATCC,,,,,,CVCL_0550,lymph_node,Metastasis,Skin Cancer,Melanoma,42.0,SIDM01105,
ACH-000424,TC71,TC71_BONE,,1240221.0,bone,Ewing_sarcoma,,,Male,DSMZ,2.0,-2.405006888,Adherent,IMDM; 10% FBS,42.6,CVCL_2213,bone,Primary,Bone Cancer,Ewings Sarcoma,22.0,SIDM00419,
ACH-000425,UACC62,UACC62_SKIN,,905976.0,skin,melanoma,,,Unknown,NCI/DCTD,2.0,-4.470166727,Adherent,RPMI-1640: 10%FBS,26.9,CVCL_1780,skin,,Skin Cancer,Melanoma,,SIDM00107,
ACH-000426,KMS20,KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,plasma_cell,multiple_myeloma,,,Female,HSRRB,2.0,-2.656321218,Suspension,RPMI; 10% FBS,55.4,CVCL_2990,bone_marrow,Primary,Myeloma,Multiple Myeloma,65.0,,
ACH-000427,NCIN87,NCIN87_STOMACH,,908461.0,gastric,gastric_adenocarcinoma,tubular,,Male,ATCC,2.0,-1.9007471830000002,Adherent,RPMI; 10% FBS,49.2,CVCL_1603,liver,Metastasis,Gastric Cancer,"Adenocarcinoma, tubular",,SIDM01147,
ACH-000428,UO31,UO31_KIDNEY,,905981.0,kidney,renal_cell_carcinoma,,,Unknown,Academic lab,,,,,,CVCL_1911,kidney,,Kidney Cancer,Renal Cell Carcinoma,,SIDM00112,
ACH-000429,A704,A704_KIDNEY,,910920.0,kidney,renal_cell_carcinoma,,,Male,ATCC,,,,,,CVCL_1065,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,78.0,SIDM00849,
ACH-000430,TYKNU,TYKNU_OVARY,,909774.0,ovary,ovary_adenocarcinoma,high_grade_serous,,Female,HSRRB,,,,,,CVCL_1776,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, high grade serous",,SIDM00321,
ACH-000431,NCIH1694,NCIH1694_LUNG,,688006.0,lung,SCLC,,,Male,ATCC,2.0,-4.2058560819999995,Suspension,F10,17,CVCL_1489,ascites,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),61.0,SIDM00741,
ACH-000432,BV173,BV173_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910710.0,blood,CML,blast_crisis,,Male,DSMZ,,,,,,CVCL_0181,haematopoietic_and_lymphoid_tissue,,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",45.0,SIDM00962,
ACH-000433,CAKI1,CAKI1_KIDNEY,,905963.0,kidney,renal_cell_carcinoma,clear_cell,,Male,ATCC,2.0,-2.71998161,Adherent,McCoy's 5A; 10% FBS,49.5,CVCL_0234,skin,Metastasis,Kidney Cancer,"Renal Carcinoma, clear cell",49.0,SIDM00941,
ACH-000434,NCIH1915,NCIH1915_LUNG,,1240184.0,lung,NSCLC,NSCLC_large_cell,,Female,ATCC,2.0,-3.3722633419999997,Adherent,RPMI; 10% FBS,14.4,CVCL_1505,central_nervous_system,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",61.0,SIDM00763,
ACH-000435,EFE184,EFE184_ENDOMETRIUM,,,uterus,endometrial_adenocarcinoma,,,Female,DSMZ,1.0,-1.485753172,Adherent,RPMI; 10% FBS,17.8,CVCL_1191,ascites,Metastasis,Endometrial/Uterine Cancer,Endometrial Adenocarcinoma,69.0,,
ACH-000436,OCIMY7,OCIMY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-MY7,,plasma_cell,multiple_myeloma,,,Unknown,Academic lab,2.0,-2.7401781869999997,Suspension,RPMI; 10% FBS,17.5,CVCL_E333,haematopoietic_and_lymphoid_tissue,,Myeloma,Multiple Myeloma,,,
ACH-000437,SW1088,SW1088_CENTRAL_NERVOUS_SYSTEM,,909745.0,central_nervous_system,glioma,astrocytoma,,Male,ATCC,2.0,-4.83565394,Adherent,RPMI-1640: 90.0%;10%FBS,24.9,CVCL_1715,central_nervous_system,Primary,Brain Cancer,Astrocytoma,72.0,SIDM01155,
ACH-000438,LU65,LU65_LUNG,,724863.0,lung,NSCLC,NSCLC_large_cell,,Male,JCRB,2.0,-3.518670321,Suspension,RPMI; 20% FBS,11,CVCL_1392,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",64.0,SIDM00547,
ACH-000439,ME1,ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330942.0,blood,AML,M4,,Male,DSMZ,,,,,,CVCL_2110,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Myelogenous Leukemia (AML), M4 (Myelomonocytic)",40.0,SIDM00338,
ACH-000440,CA46,CA46_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910703.0,lymphocyte,non_hodgkin_lymphoma,b_cell_burkitt,,Male,ATCC,,,,,,CVCL_1101,ascites,,Lymphoma,"B-cell, Non-Hodgkins, Burkitts",,SIDM00907,
ACH-000441,SH4,SH4_SKIN,,909713.0,skin,melanoma,,,Female,ATCC,2.0,-4.112254705,Adherent,DMEM;10% FBS;,52.6,CVCL_1692,pleural_effusion,Metastasis,Skin Cancer,Melanoma,60.0,SIDM01079,
ACH-000442,RERFLCSQ1,RERFLCSQ1_LUNG,,1298538.0,lung,NSCLC,NSCLC_squamous,,Female,HSRRB,,,,,,CVCL_1656,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",74.0,SIDM00354,
ACH-000443,OVKATE,OVKATE_OVARY,,1240199.0,ovary,ovary_adenocarcinoma,high_grade_serous,,Female,HSRRB,,,,,,CVCL_3110,ovary,Primary,Ovarian Cancer,"Adenocarcinoma, high grade serous",40.0,SIDM00466,
ACH-000444,LU99,LU99_LUNG,,,lung,NSCLC,NSCLC_large_cell,,Male,HSRRB,2.0,-4.4532083280000005,Adherent,RPMI; 10% FBS,43,CVCL_3015,pleura,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",63.0,SIDM00546,
ACH-000445,KNS60,KNS60_CENTRAL_NERVOUS_SYSTEM,,,central_nervous_system,glioma,glioblastoma,,Male,HSRRB,1.0,-3.7245181510000003,Adherent,DMEM; 5% FBS,28.8,CVCL_2798,central_nervous_system,Primary,Brain Cancer,Glioblastoma,55.0,,
ACH-000446,KPNSI9S,KPNSI9S_AUTONOMIC_GANGLIA,,,peripheral_nervous_system,neuroblastoma,,,Male,HSRRB,0.0,-1.049796529,,,,CVCL_1340,autonomic_ganglia,Metastasis,Neuroblastoma,,,,
ACH-000447,NCIH2228,NCIH2228_LUNG,,687816.0,lung,NSCLC,NSCLC_adenocarcinoma,,Female,ATCC,,,,,,CVCL_1543,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",,SIDM00729,
ACH-000448,NCIH1666,NCIH1666_LUNG,,908473.0,lung,NSCLC,NSCLC_adenocarcinoma,,Female,ATCC,2.0,-4.019191492,Mixed Adherent and Suspension,ACL4 (FBS free),5.8,CVCL_1485,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",50.0,SIDM00743,
ACH-000449,MESSA,MESSA_SOFT_TISSUE,,908127.0,soft_tissue,uterine_sarcoma,,,Female,ATCC,,,,,,CVCL_1404,endometrium,Primary,Sarcoma,Uterine Sarcoma,56.0,SIDM00625,
ACH-000450,MELHO,MELHO_SKIN,,908124.0,skin,melanoma,,,Female,DSMZ,2.0,-3.003710579,Adherent,RPMI-1640: 10%FBS,41.4,CVCL_1402,skin,Primary,Skin Cancer,Melanoma,,SIDM00337,
ACH-000451,NCIH2085,NCIH2085_LUNG,,687812.0,lung,NSCLC,NSCLC_adenocarcinoma,,Male,ATCC,,,,,,CVCL_1523,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",45.0,SIDM00709,
ACH-000452,TE8,TE8_OESOPHAGUS,,753623.0,esophagus,esophagus_squamous,,,Male,RIKEN,2.0,-5.568964952999999,Adherent,RPMI-1640: 10%FBS,28.5,CVCL_1766,oesophagus,,Esophageal Cancer,Squamous Cell Carcinoma,,SIDM00326,
ACH-000453,MOLP2,MOLP2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,plasma_cell,multiple_myeloma,,,Male,DSMZ,,,,,,CVCL_2123,haematopoietic_and_lymphoid_tissue,Primary,Myeloma,Multiple Myeloma,55.0,,
ACH-000454,HCC95,HCC95_LUNG,,,lung,NSCLC,NSCLC_squamous,,Male,KCLB,2.0,-2.9853454530000003,Adherent,RPMI; 10% FBS,13.3,CVCL_5137,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",65.0,,
ACH-000455,LN428,LN428_CENTRAL_NERVOUS_SYSTEM,,,central_nervous_system,glioma,glioblastoma,,Male,Academic lab,1.0,-4.813908262,,,13.6,CVCL_3959,central_nervous_system,,Brain Cancer,Glioblastoma,,,
ACH-000456,BCPAP,BCPAP_THYROID,,924104.0,thyroid,thyroid_carcinoma,papillary,,Female,DSMZ,,,,,,CVCL_0153,thyroid,Primary,Thyroid Cancer,"Carcinoma, papillary",76.0,SIDM00992,
ACH-000457,CAL54,CAL54_KIDNEY,,910952.0,kidney,renal_cell_carcinoma,,,Male,DSMZ,,,,,,CVCL_1111,pleural_effusion,Metastasis,Kidney Cancer,Renal Cell Carcinoma,75.0,SIDM00932,
ACH-000458,CJM,CJM_SKIN,,,skin,melanoma,,,Unknown,RIKEN,2.0,-3.756952918,Adherent,Hams F-12; 10% FBS,10.7,CVCL_U797,skin,Metastasis,Skin Cancer,Melanoma,,,
ACH-000459,TUHR10TKB,TUHR10TKB_KIDNEY,,,kidney,renal_cell_carcinoma,,,Male,RIKEN,2.0,-1.609119178,Adherent,RPMI-1640: 90.0%,54.8,CVCL_5952,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,69.0,,
ACH-000460,SNU8,SNU8_OVARY,,,ovary,ovary_adenocarcinoma,high_grade_serous,,Female,KCLB,3.0,-4.807013803,Adherent,RPMI; 10% FBS,13.1,CVCL_5096,ascites,Metastasis,Ovarian Cancer,"Adenocarcinoma, high grade serous",55.0,,
ACH-000461,SNU1196,SNU1196_BILIARY_TRACT,,,bile_duct,cholangiocarcinoma,extrahepatic,,Unknown,KCLB,1.0,-3.450786157,Adherent,"RPMI1640 with L-glutamine (300mg/L), 25mM HEPES and 25mM NaHCO3, 90%; heat inactivated fetal bovine serum (FBS), 10%",17.1,CVCL_5015,biliary_tract,,Bile Duct Cancer,"Cholangiocarcinoma, extrahepatic",,SIDM00163,
ACH-000462,NALM1,NALM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,blood,CML,blast_crisis,,Female,DSMZ,,,,,,CVCL_0091,haematopoietic_and_lymphoid_tissue,,Leukemia,"Chronic Myelogenous Leukemia (CML), blast crisis",3.0,,
ACH-000463,NCIH460,NCIH460_LUNG,,905943.0,lung,NSCLC,NSCLC_large_cell,,Male,ATCC,2.0,-3.179589726,Adherent,RPMI; 10% FBS,16.9,CVCL_0459,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",,SIDM00144,
ACH-000464,CAS1,CAS1_CENTRAL_NERVOUS_SYSTEM,,910943.0,central_nervous_system,glioma,glioblastoma,,Male,ICLC,2.0,-3.512392527,Adherent,DMEM; 10% FBS,42.9,CVCL_1117,central_nervous_system,Primary,Brain Cancer,Glioblastoma,63.0,SIDM00212,
ACH-000465,SKMEL1,SKMEL1_SKIN,,909723.0,skin,melanoma,,,Male,ATCC,,,,,,CVCL_0068,haematopoietic_and_lymphoid_tissue,Metastasis,Skin Cancer,Melanoma,29.0,SIDM01107,
ACH-000466,SNU216,SNU216_STOMACH,,,gastric,gastric_adenocarcinoma,tubular,,Female,KCLB,2.0,-2.669209864,Adherent,RPMI-1640; 10%FBS,26.7,CVCL_3946,lymph_node,Metastasis,Gastric Cancer,"Adenocarcinoma, tubular",46.0,,
ACH-000467,HCC56,HCC56_LARGE_INTESTINE,,1290907.0,colorectal,colorectal_adenocarcinoma,,,Unknown,HSRRB,3.0,-3.8193186710000004,Adherent,EMEM; 10% FBS,28.1,CVCL_2917,large_intestine,,Colon/Colorectal Cancer,Adenocarcinoma,,SIDM00597,
ACH-000468,PK45H,PK45H_PANCREAS,,,pancreas,exocrine,exocrine_adenocarcinoma,,Unknown,RIKEN,3.0,-3.6409424969999997,Adherent,RPMI-1640: 10%FBS,15.9,CVCL_6748,pancreas,Primary,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",,,
ACH-000469,YH13,YH13_CENTRAL_NERVOUS_SYSTEM,,909905.0,central_nervous_system,glioma,glioblastoma,,Male,HSRRB,2.0,-4.80246423,Adherent,EMEM: 80.0%; 20%FBS,48.2,CVCL_1795,central_nervous_system,Primary,Brain Cancer,Glioblastoma,40.0,SIDM00316,
ACH-000470,SW1463,SW1463_LARGE_INTESTINE,,909748.0,colorectal,colorectal_adenocarcinoma,,,Female,ATCC,3.0,-3.520140217,Adherent,RPMI-1640: 10%FBS,21.4,CVCL_1718,large_intestine,Primary,Colon/Colorectal Cancer,Adenocarcinoma,66.0,SIDM00834,
ACH-000471,LI7,LI7_LIVER,,,liver,,,,Male,RIKEN,2.0,-5.531055567999999,Adherent,RPMI; 10% FBS,6.9,CVCL_3840,liver,,Liver Cancer,,45.0,,
ACH-000472,HSC2,HSC2_UPPER_AERODIGESTIVE_TRACT,,753562.0,upper_aerodigestive,upper_aerodigestive_squamous,,,Male,HSRRB,2.0,-5.380784004,Adherent,EMEM; 10% FBS,17.1,CVCL_1287,upper_aerodigestive_tract,Metastasis,Head and Neck Cancer,Squamous Cell Carcinoma,69.0,SIDM00590,
ACH-000473,RT112,RT112_URINARY_TRACT,,909704.0,urinary_tract,bladder_carcinoma,bladder_transitional_cell,,Female,DSMZ,2.0,-3.0251763410000003,Adherent,RPMI; 10% FBS,32.2,CVCL_1670,urinary_tract,Primary,Bladder Cancer,Transitional Cell Carcinoma,,SIDM00402,
ACH-000475,HUH1,HUH1_LIVER,,1298146.0,liver,hepatocellular_carcinoma,hbs_antigen_carrier,,Male,HSRRB,2.0,-5.58088768,Adherent,DMEM;10% FBS;,3.9,CVCL_2956,liver,Primary,Liver Cancer,"Hepatocellular Carcinoma, HBs-antigen carrier",53.0,SIDM00586,
ACH-000476,JHH4,JHH4_LIVER,,1240158.0,liver,hepatocellular_carcinoma,,,Male,HSRRB,2.0,-3.609189375,Adherent,EMEM; 10% FBS,45.6,CVCL_2787,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,51.0,SIDM00616,
ACH-000477,MALME3M,MALME3M_SKIN,,,skin,melanoma,,,Male,ATCC,2.0,-3.533078118,Adherent,RPMI; 10% FBS,53.4,CVCL_1438,lung,Metastasis,Skin Cancer,Melanoma,43.0,SIDM00011,
ACH-000478,SNU387,SNU387_LIVER,,909736.0,liver,hepatocellular_carcinoma,,,Female,ATCC,2.0,-3.96662024,Adherent,RPMI; 10% FBS,6,CVCL_0250,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,41.0,SIDM01180,
ACH-000479,KNS81,KNS81_CENTRAL_NERVOUS_SYSTEM,,,central_nervous_system,glioma,glioblastoma,,Male,HSRRB,0.0,-1.854234835,,,,CVCL_2799,central_nervous_system,Primary,Brain Cancer,Glioblastoma,65.0,SIDM00605,
ACH-000480,HUH7,HUH7_LIVER,,907071.0,liver,hepatocellular_carcinoma,,,Male,HSRRB,2.0,-3.868464405,Adherent,DMEM; 10% FBS,47.9,CVCL_0336,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,57.0,SIDM00585,
ACH-000481,NCIH2170,NCIH2170_LUNG,,687815.0,lung,NSCLC,NSCLC_squamous,,Male,ATCC,3.0,-3.466151449,Adherent,RPMI;10% FBS;,14.4,CVCL_1535,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",,SIDM00716,
ACH-000482,RERFLCKJ,RERFLCKJ_LUNG,,1298537.0,lung,NSCLC,NSCLC_adenocarcinoma,,Male,HSRRB,,,,,,CVCL_1654,lung,Primary,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",78.0,SIDM00356,
ACH-000483,SNU182,SNU182_LIVER,,1240216.0,liver,hepatocellular_carcinoma,,,Male,ATCC,2.0,-3.7145493430000003,Adherent,RPMI; 10% FBS,36.6,CVCL_0090,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,24.0,SIDM01151,
ACH-000484,VMRCRCW,VMRCRCW_KIDNEY,,1240224.0,kidney,renal_cell_carcinoma,,,Male,RIKEN,1.0,-3.2887484189999996,Adherent,EMEM; 10% FBS,8.7,CVCL_1790,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,,SIDM00318,
ACH-000485,GSU,GSU_STOMACH,,,gastric,gastric_adenocarcinoma,,,Male,RIKEN,2.0,-3.373235935,Semi-adherent,RPMI-1640: 10%FBS,15.3,CVCL_8877,ascites,Metastasis,Gastric Cancer,Adenocarcinoma,37.0,,
ACH-000486,KU1919,KU1919_URINARY_TRACT,,907312.0,urinary_tract,bladder_carcinoma,bladder_transitional_cell,,Male,DSMZ,2.0,-4.256240039,Adherent,RPMI; 10%heat inactive FBS,33.3,CVCL_1344,urinary_tract,,Bladder Cancer,Transitional Cell Carcinoma,76.0,SIDM01033,
ACH-000487,F36P,F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,blood,AML,M6,,Male,DSMZ,2.0,-4.31822383,Suspension,RPMI; 20% FBS; 10 ng/ml GM-CSF,17.7,CVCL_2037,pleural_effusion,Metastasis,Leukemia,"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",68.0,,
ACH-000488,TE11,TE11_OESOPHAGUS,,946354.0,esophagus,esophagus_squamous,,,Male,RIKEN,2.0,-4.859440458,Adherent,RPMI-1640: 10% FBS,5.1,CVCL_1761,oesophagus,Primary,Esophageal Cancer,Squamous Cell Carcinoma,58.0,SIDM00348,
ACH-000489,SW1116,SW1116_LARGE_INTESTINE,,909746.0,colorectal,colorectal_adenocarcinoma,,,Male,ATCC,,,,,,CVCL_0544,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,73.0,SIDM00835,
ACH-000490,SF767,SF767_CENTRAL_NERVOUS_SYSTEM,,,central_nervous_system,glioma,astrocytoma,,Female,Academic lab,2.0,-5.096891033,Adherent,DMEM; 10% FBS,8.2,CVCL_6950,stomach,Metastasis,Brain Cancer,Astrocytoma,,SIDM00626,
ACH-000491,NCIH716,NCIH716_LARGE_INTESTINE,,908458.0,colorectal,colorectal_adenocarcinoma,,,Male,ATCC,3.0,-2.708090973,Semi-adherent,RPMI; 10% FBS,8,CVCL_1581,ascites,Metastasis,Colon/Colorectal Cancer,Adenocarcinoma,33.0,SIDM00779,
ACH-000492,MUTZ5,MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,blood,ALL,b_cell,,Male,DSMZ,,,,,,CVCL_1873,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",26.0,,
ACH-000493,SNU423,SNU423_LIVER,,909737.0,liver,hepatocellular_carcinoma,,,Male,ATCC,1.0,-3.2408550139999996,Adherent,RPMI; 10% FBS,16.7,CVCL_0366,liver,Primary,Liver Cancer,Hepatocellular Carcinoma,40.0,SIDM01199,
ACH-000494,OELE,OELE_OVARY,OEL(E),,engineered_ovary,,,,Unknown,Academic lab,,,,,,CVCL_IW56,ovary,,Engineered,,,,
ACH-000495,TUHR4TKB,TUHR4TKB_KIDNEY,,,kidney,renal_cell_carcinoma,,,Male,RIKEN,1.0,-3.3984018519999997,Adherent,DMEM;10% FBS;,22.8,CVCL_5957,kidney,Primary,Kidney Cancer,Renal Cell Carcinoma,60.0,,
ACH-000496,NCIH1792,NCIH1792_LUNG,,724868.0,lung,NSCLC,NSCLC_adenocarcinoma,,Male,ATCC,4.0,-4.207949043,Adherent,RPMI; 10% FBS,14.3,CVCL_1495,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",50.0,SIDM00771,
ACH-000498,KO52,KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330932.0,blood,AML,M2,,Male,HSRRB,1.0,-1.051070158,Suspension,Alpha-MEM (minimum essential medium alpha) with 10% heat-inactivated fetal bovine serum,0.4,CVCL_1321,bone_marrow,,Leukemia,"Acute Myelogenous Leukemia (AML), M2 (Myeloblastic)",46.0,SIDM00018,
ACH-000499,EW8,EW8_BONE,,,bone,Ewing_sarcoma,,EWS_FLI,Male,Academic lab,2.0,-2.872731124,Adherent,DMEM; 10% FBS; 2mM L-glutamine,43.2,CVCL_V618,bone,,Bone Cancer,Ewings Sarcoma,,,
ACH-000500,SNU46,SNU46_UPPER_AERODIGESTIVE_TRACT,,,upper_aerodigestive,upper_aerodigestive_squamous,laryngeal,,Male,KCLB,2.0,-1.40797428,Adherent,"90% RPMI1640 with L-glutamine (300mg/L), 25mM HEPES and 25mM NaHCO3 + 10% h.i. FBS",49.7,CVCL_5063,upper_aerodigestive_tract,,Head and Neck Cancer,"Squamous Cell Carcinoma, laryngeal",66.0,,
ACH-000501,LS123,LS123_LARGE_INTESTINE,,907792.0,colorectal,colorectal_adenocarcinoma,,,Female,ATCC,,,,,,CVCL_1383,Colon,Primary,Colon/Colorectal Cancer,Adenocarcinoma,65.0,SIDM00776,
ACH-000502,TCCPAN2,TCCPAN2_PANCREAS,,,pancreas,exocrine,exocrine_adenocarcinoma,,Female,HSRRB,3.0,-4.725096939,Adherent,RPMI-1640: 10%FBS,16.3,CVCL_3178,ascites,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",68.0,,
ACH-000503,BICR16,BICR16_UPPER_AERODIGESTIVE_TRACT,,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,Male,ECACC,2.0,-2.456833166,Adherent,DMEM;10% FBS;,26.3,CVCL_2308,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",,,
ACH-000504,SNB75,SNB75_CENTRAL_NERVOUS_SYSTEM,,905982.0,central_nervous_system,glioma,,,Female,Academic lab,2.0,-3.7586564989999998,Adherent,RPMI-1640: 95.0%;5%FBS,32.3,CVCL_1706,central_nervous_system,Primary,Brain Cancer,Glioma,,SIDM00095,
ACH-000505,RKN,RKN_SOFT_TISSUE,,1298539.0,soft_tissue,leiomyosarcoma,,,Female,HSRRB,2.0,-5.017837643,Adherent,HamsF12; 10% FBS,17.8,CVCL_3156,ovary,Primary,Sarcoma,Leiomyosarcoma,45.0,SIDM00353,
ACH-000506,NCIH146,NCIH146_LUNG,,910899.0,lung,SCLC,,,Male,ATCC,,,,,,CVCL_1473,bone_marrow,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),59.0,SIDM00698,
ACH-000507,KE39,KE39_STOMACH,,,gastric,gastric_adenocarcinoma,,,Male,RIKEN,2.0,-4.184025082,Adherent,RPMI-1640: 10%FBS,30,CVCL_3385,lymph_node,Metastasis,Gastric Cancer,Adenocarcinoma,77.0,,
ACH-000508,CORL88,CORL88_LUNG,,906808.0,lung,SCLC,,,Male,ECACC,,,,,,CVCL_1141,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),55.0,SIDM00506,
ACH-000509,HUT78,HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,,lymphocyte,non_hodgkin_lymphoma,t_cell_cutaneous,,Male,ATCC,,,,,,CVCL_0337,haematopoietic_and_lymphoid_tissue,,Lymphoma,"T-cell, Non-Hodgkins, Cutaneous",53.0,SIDM00851,
ACH-000510,NCIH1299,NCIH1299_LUNG,,724831.0,lung,NSCLC,NSCLC_large_cell,,Male,ATCC,2.0,-5.207314737,Adherent,RPMI; 10% FBS,35.2,CVCL_0060,lymph_node,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",43.0,SIDM00649,
ACH-000511,CALU1,CALU1_LUNG,,,lung,NSCLC,NSCLC_squamous,,Male,ATCC,2.0,-4.923114127,Adherent,McCoy's 5A; 10% FBS,21.3,CVCL_0608,pleura,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",47.0,,
ACH-000512,INA6,INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,INA-6,,plasma_cell,multiple_myeloma,,,Male,Academic lab,1.0,-2.1845573640000002,Suspension,RPMI; 20%FBS; 5 ng/mL IL-6,1.5,CVCL_5209,pleural_effusion,,Myeloma,Multiple Myeloma,,,
ACH-000513,SNU1272,SNU1272_KIDNEY,,,kidney,renal_cell_carcinoma,clear_cell,,Female,KCLB,,,,,,CVCL_8788,kidney,,Kidney Cancer,"Renal Carcinoma, clear cell",63.0,,
ACH-000514,NCIH1092,NCIH1092_LUNG,,687997.0,lung,SCLC,,,Male,ATCC,2.0,-3.529716272,Suspension,"RPMI-1640: 5%FBS,Hydrocortisone: 10.0 nM, L-glutamine: 2.0 mM, beta-estradiol: 10.0 nM, Insulin-Transferrin-Selenium: 5.0 ml",31.3,CVCL_1454,bone_marrow,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),67.0,SIDM00653,
ACH-000515,HCC33,HCC33_LUNG,,1303901.0,lung,SCLC,,,Male,DSMZ,,,,,,CVCL_2058,pleural_effusion,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),52.0,SIDM01071,
ACH-000516,CAL78,CAL78_BONE,,1290765.0,bone,chondrosarcoma,,,Male,DSMZ,2.0,-5.56636951,Adherent,RPMI-1640: 80.0%,33.4,CVCL_1809,soft_tissue,,Bone Cancer,Chondrosarcoma,76.0,SIDM00929,
ACH-000517,SNU410,SNU410_PANCREAS,,,pancreas,exocrine,exocrine_adenocarcinoma,,Male,KCLB,3.0,-5.935396342000001,Adherent,RPMI-1640: 10%FBS,18.6,CVCL_5059,liver,Metastasis,Pancreatic Cancer,"Ductal Adenocarcinoma, exocrine",53.0,,
ACH-000518,CAL33,CAL33_UPPER_AERODIGESTIVE_TRACT,,753541.0,upper_aerodigestive,upper_aerodigestive_squamous,oral,,Male,DSMZ,2.0,-3.4654600639999997,,DMEM;10% FBS;,14.3,CVCL_1108,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",69.0,SIDM00942,
